
1001,10,15,12,45
1002,10,0,11,20
1003,10,45,12,0
1004,10,30,10,15
1005,10,20,10,0
1006,10,2,12,20
1007,10,1,12,21
1008,10,3,12,30
1009,10,30,12,40
1010,10,32,12,41
1011,10,33,11,30
1012,10,36,11,35
1013,10,24,12,50
1014,10,23,12,51
1015,10,26,12,55
1016,10,24,12,56
1017,10,25,12,43
1018,10,21,13,00
1019,10,35,13,15
1020,10,34,13,17
1021,10,37,13,20
1022,10,39,13,14
1023,10,45,12,57
1024,10,30,12,31
1025,10,31,12,32
1026,10,32,12,33
1027,10,33,12,34
1028,10,34,12,35
1029,10,35,12,36
1030,10,36,12,37
1031,10,37,12,38
1032,10,38,10,1
1032,10,39,10,2
1033,10,40,10,3
1034,10,41,10,4
1035,10,41,10,5
1036,10,42,10,6
1037,10,43,10,7
1038,10,44,10,8
1039,10,45,13,16
1040,10,46,13,12
1041,10,47,13,13
1042,10,48,13,1
1043,10,49,13,2
1044,10,50,13,3
1045,10,51,13,4
1046,10,52,13,5
1047,10,53,13,6
